% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
0,1000,structures.Agent@79fc0f2f,structures.Agent@133314b,null,
0,1000,structures.Agent@2dda6444,structures.Agent@cc34f4d,null,
0,1000,structures.Agent@5e9f23b4,structures.Agent@1d56ce6a,null,
0,1000,structures.Agent@4783da3f,structures.Agent@3f91beef,null,
0,1000,structures.Agent@4783da3f,structures.Agent@31cefde0,null,
0,1000,structures.Agent@378fd1ac,structures.Agent@4edde6e5,null,
0,1000,structures.Agent@49097b5d,structures.Agent@31221be2,null,
0,1000,structures.Agent@49097b5d,structures.Agent@27973e9b,null,
0,1000,structures.Agent@49097b5d,structures.Agent@377dca04,null,
0,1000,structures.Agent@49097b5d,structures.Agent@7e6cbb7a,null,
0,1000,structures.Agent@6e2c634b,structures.Agent@7e6cbb7a,null,
0,1000,structures.Agent@6e2c634b,structures.Agent@4fca772d,null,
0,1000,structures.Agent@37a71e93,structures.Agent@179d3b25,null,
0,1000,structures.Agent@37a71e93,structures.Agent@3f91beef,null,
0,1000,structures.Agent@37a71e93,structures.Agent@5b6f7412,null,
0,1000,structures.Agent@7e6cbb7a,structures.Agent@4dd8dc3,null,
0,1000,structures.Agent@7e6cbb7a,structures.Agent@439f5b3d,null,
0,1000,structures.Agent@7c3df479,structures.Agent@2e0fa5d3,null,
0,1000,structures.Agent@7eda2dbb,structures.Agent@7ef20235,null,
0,1000,structures.Agent@6576fe71,structures.Agent@2f4d3709,null,
0,1000,structures.Agent@6576fe71,structures.Agent@7106e68e,null,
0,1000,structures.Agent@6576fe71,structures.Agent@723279cf,null,
0,1000,structures.Agent@76fb509a,structures.Agent@17f052a3,null,
0,1000,structures.Agent@76fb509a,structures.Agent@37f8bb67,null,
0,1000,structures.Agent@76fb509a,structures.Agent@15aeb7ab,null,
0,1000,structures.Agent@76fb509a,structures.Agent@27d6c5e0,null,
0,1000,structures.Agent@300ffa5d,structures.Agent@5010be6,null,
0,1000,structures.Agent@300ffa5d,structures.Agent@79fc0f2f,null,
0,1000,structures.Agent@300ffa5d,structures.Agent@2f4d3709,null,
0,1000,structures.Agent@1f17ae12,structures.Agent@b4c966a,null,
0,1000,structures.Agent@4d405ef7,structures.Agent@568db2f2,null,
0,1000,structures.Agent@6193b845,structures.Agent@34c45dca,null,
0,1000,structures.Agent@2e817b38,structures.Agent@5010be6,null,
0,1000,structures.Agent@c4437c4,structures.Agent@6e8cf4c6,null,
