% Base Parameters: gaussian = false, rotation = .2, gaussanStandardDeviation = 1, stepSize = 1, useNetwork = true, networkType = meanK, networkSplit = 0, networkShare = 0, meanK = 1, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 1000, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
0,1000,structures.Agent@2cdf8d8a,structures.Agent@28ba21f3,null,
0,1000,structures.Agent@1698c449,structures.Agent@56ef9176,null,
0,1000,structures.Agent@5ef04b5,structures.Agent@69663380,null,
0,1000,structures.Agent@5ef04b5,structures.Agent@5cc7c2a6,null,
0,1000,structures.Agent@14514713,structures.Agent@7d417077,null,
0,1000,structures.Agent@5b37e0d2,structures.Agent@47c62251,null,
0,1000,structures.Agent@4459eb14,structures.Agent@2038ae61,null,
0,1000,structures.Agent@5a2e4553,structures.Agent@ea4a92b,null,
0,1000,structures.Agent@6659c656,structures.Agent@1cf4f579,null,
0,1000,structures.Agent@2077d4de,structures.Agent@4dfa3a9d,null,
0,1000,structures.Agent@77a567e1,structures.Agent@3d494fbf,null,
0,1000,structures.Agent@77a567e1,structures.Agent@5594a1b5,null,
0,1000,structures.Agent@736e9adb,structures.Agent@6cd8737,null,
0,1000,structures.Agent@4d76f3f8,structures.Agent@73a8dfcc,null,
0,1000,structures.Agent@4534b60d,structures.Agent@7506e922,null,
0,1000,structures.Agent@3fa77460,structures.Agent@3e6fa38a,null,
0,1000,structures.Agent@497470ed,structures.Agent@5e8c92f4,null,
0,1000,structures.Agent@6438a396,structures.Agent@3ac3fd8b,null,
0,1000,structures.Agent@6438a396,structures.Agent@27efef64,null,
0,1000,structures.Agent@1cf4f579,structures.Agent@2401f4c3,null,
0,1000,structures.Agent@46ee7fe8,structures.Agent@57fa26b7,null,
0,1000,structures.Agent@4ee285c6,structures.Agent@2eee9593,null,
0,1000,structures.Agent@15327b79,structures.Agent@96532d6,null,
0,1000,structures.Agent@4f2410ac,structures.Agent@3339ad8e,null,
0,1000,structures.Agent@22927a81,structures.Agent@4cdbe50f,null,
0,1000,structures.Agent@5e8c92f4,structures.Agent@783e6358,null,
0,1000,structures.Agent@61e4705b,structures.Agent@39c0f4a,null,
0,1000,structures.Agent@51521cc1,structures.Agent@880ec60,null,
0,1000,structures.Agent@51521cc1,structures.Agent@d2cc05a,null,
0,1000,structures.Agent@deb6432,structures.Agent@6fdb1f78,null,
0,1000,structures.Agent@20fa23c1,structures.Agent@18769467,null,
0,1000,structures.Agent@6aa8ceb6,structures.Agent@61832929,null,
0,1000,structures.Agent@6aa8ceb6,structures.Agent@6f79caec,null,
0,1000,structures.Agent@48533e64,structures.Agent@8807e25,null,
0,1000,structures.Agent@48533e64,structures.Agent@36f6e879,null,
0,1000,structures.Agent@7e0b37bc,structures.Agent@1c655221,null,
0,1000,structures.Agent@2b05039f,structures.Agent@32a1bec0,null,
0,1000,structures.Agent@4e515669,structures.Agent@4f7d0008,null,
0,1000,structures.Agent@1b9e1916,structures.Agent@42d3bd8b,null,
0,1000,structures.Agent@1b9e1916,structures.Agent@7a0ac6e3,null,
0,1000,structures.Agent@4f8e5cde,structures.Agent@29ee9faa,null,
0,1000,structures.Agent@4f8e5cde,structures.Agent@5f2108b5,null,
0,1000,structures.Agent@45fe3ee3,structures.Agent@457e2f02,null,
0,1000,structures.Agent@4cdf35a9,structures.Agent@6aaa5eb0,null,
0,1000,structures.Agent@5fcfe4b2,structures.Agent@59e84876,null,
0,1000,structures.Agent@53e25b76,structures.Agent@34340fab,null,
0,1000,structures.Agent@3f8f9dd6,structures.Agent@439f5b3d,null,
0,1000,structures.Agent@58d25a40,structures.Agent@d7b1517,null,
0,1000,structures.Agent@442d9b6e,structures.Agent@17c68925,null,
0,1000,structures.Agent@ee7d9f1,structures.Agent@27973e9b,null,
0,1000,structures.Agent@1edf1c96,structures.Agent@67117f44,null,
0,1000,structures.Agent@1edf1c96,structures.Agent@2471cca7,null,
0,1000,structures.Agent@368102c8,structures.Agent@224aed64,null,
0,1000,structures.Agent@1963006a,structures.Agent@edf4efb,null,
0,1000,structures.Agent@41975e01,structures.Agent@5d099f62,null,
0,1000,structures.Agent@41975e01,structures.Agent@7e0babb1,null,
0,1000,structures.Agent@c2e1f26,structures.Agent@13805618,null,
0,1000,structures.Agent@dcf3e99,structures.Agent@7a46a697,null,
0,1000,structures.Agent@6d9c638,structures.Agent@38cccef,null,
0,1000,structures.Agent@6d9c638,structures.Agent@42f30e0a,null,
0,1000,structures.Agent@7dc5e7b4,structures.Agent@31610302,null,
0,1000,structures.Agent@1ee0005,structures.Agent@25618e91,null,
0,1000,structures.Agent@75a1cd57,structures.Agent@2d98a335,null,
0,1000,structures.Agent@6f2b958e,structures.Agent@65ae6ba4,null,
0,1000,structures.Agent@6f2b958e,structures.Agent@464bee09,null,
0,1000,structures.Agent@1eb44e46,structures.Agent@37bba400,null,
0,1000,structures.Agent@6504e3b2,structures.Agent@311d617d,null,
0,1000,structures.Agent@5e265ba4,structures.Agent@4501b7af,null,
0,1000,structures.Agent@156643d4,structures.Agent@6e1567f1,null,
0,1000,structures.Agent@1175e2db,structures.Agent@6f7fd0e6,null,
0,1000,structures.Agent@36aa7bc2,structures.Agent@3abbfa04,null,
0,1000,structures.Agent@182decdb,structures.Agent@17d10166,null,
0,1000,structures.Agent@53bd815b,structures.Agent@7f560810,null,
0,1000,structures.Agent@762efe5d,structures.Agent@2f7c7260,null,
0,1000,structures.Agent@5d22bbb7,structures.Agent@61a52fbd,null,
0,1000,structures.Agent@41a4555e,structures.Agent@5cb0d902,null,
0,1000,structures.Agent@3830f1c0,structures.Agent@1ff8b8f,null,
0,1000,structures.Agent@3830f1c0,structures.Agent@2cfb4a64,null,
0,1000,structures.Agent@39ed3c8d,structures.Agent@2f4d3709,null,
0,1000,structures.Agent@7d6f77cc,structures.Agent@1593948d,null,
0,1000,structures.Agent@5aaa6d82,structures.Agent@12843fce,null,
0,1000,structures.Agent@6f75e721,structures.Agent@129a8472,null,
0,1000,structures.Agent@606d8acf,structures.Agent@490ab905,null,
0,1000,structures.Agent@470e2030,structures.Agent@24273305,null,
0,1000,structures.Agent@470e2030,structures.Agent@29444d75,null,
0,1000,structures.Agent@33833882,structures.Agent@2471cca7,null,
0,1000,structures.Agent@200a570f,structures.Agent@48cf768c,null,
0,1000,structures.Agent@e2d56bf,structures.Agent@4de8b406,null,
0,1000,structures.Agent@244038d0,structures.Agent@4f7d0008,null,
0,1000,structures.Agent@5680a178,structures.Agent@6979e8cb,null,
0,1000,structures.Agent@3b22cdd0,structures.Agent@7291c18f,null,
0,1000,structures.Agent@3b22cdd0,structures.Agent@19dfb72a,null,
0,1000,structures.Agent@65ae6ba4,structures.Agent@726f3b58,null,
0,1000,structures.Agent@59f95c5d,structures.Agent@cc34f4d,null,
0,1000,structures.Agent@7960847b,structures.Agent@f6c48ac,null,
0,1000,structures.Agent@6a6824be,structures.Agent@2eee9593,null,
0,1000,structures.Agent@6a6824be,structures.Agent@68c4039c,null,
0,1000,structures.Agent@2c13da15,structures.Agent@14acaea5,null,
0,1000,structures.Agent@77556fd,structures.Agent@61e4705b,null,
0,1000,structures.Agent@3b192d32,structures.Agent@7a92922,null,
0,1000,structures.Agent@311d617d,structures.Agent@66048bfd,null,
0,1000,structures.Agent@7c53a9eb,structures.Agent@224aed64,null,
0,1000,structures.Agent@707f7052,structures.Agent@77a567e1,null,
0,1000,structures.Agent@707f7052,structures.Agent@3cbbc1e0,null,
0,1000,structures.Agent@14899482,structures.Agent@61832929,null,
0,1000,structures.Agent@21588809,structures.Agent@68c4039c,null,
0,1000,structures.Agent@2aae9190,structures.Agent@4edde6e5,null,
0,1000,structures.Agent@77468bd9,structures.Agent@531be3c5,null,
0,1000,structures.Agent@12bb4df8,structures.Agent@5fa7e7ff,null,
0,1000,structures.Agent@4cc77c2e,structures.Agent@5cb9f472,null,
0,1000,structures.Agent@7a7b0070,structures.Agent@3c5a99da,null,
0,1000,structures.Agent@39a054a5,structures.Agent@4ac68d3e,null,
0,1000,structures.Agent@71bc1ae4,structures.Agent@4459eb14,null,
0,1000,structures.Agent@71bc1ae4,structures.Agent@5702b3b1,null,
0,1000,structures.Agent@61064425,structures.Agent@e2d56bf,null,
0,1000,structures.Agent@7b1d7fff,structures.Agent@326de728,null,
0,1000,structures.Agent@1055e4af,structures.Agent@7c3df479,null,
0,1000,structures.Agent@1055e4af,structures.Agent@6fadae5d,null,
0,1000,structures.Agent@1c6b6478,structures.Agent@768debd,null,
0,1000,structures.Agent@4ac68d3e,structures.Agent@506c589e,null,
0,1000,structures.Agent@4ac68d3e,structures.Agent@1e80bfe8,null,
0,1000,structures.Agent@277c0f21,structures.Agent@5f184fc6,null,
0,1000,structures.Agent@3d04a311,structures.Agent@39ed3c8d,null,
0,1000,structures.Agent@7a46a697,structures.Agent@490ab905,null,
0,1000,structures.Agent@6d86b085,structures.Agent@60215eee,null,
0,1000,structures.Agent@3abfe836,structures.Agent@22927a81,null,
0,1000,structures.Agent@161cd475,structures.Agent@13fee20c,null,
0,1000,structures.Agent@161cd475,structures.Agent@1bce4f0a,null,
0,1000,structures.Agent@2f410acf,structures.Agent@156643d4,null,
0,1000,structures.Agent@4141d797,structures.Agent@3930015a,null,
0,1000,structures.Agent@68f7aae2,structures.Agent@783e6358,null,
0,1000,structures.Agent@4c3e4790,structures.Agent@7cc355be,null,
0,1000,structures.Agent@2db0f6b2,structures.Agent@d2cc05a,null,
0,1000,structures.Agent@3339ad8e,structures.Agent@3dd3bcd,null,
0,1000,structures.Agent@3339ad8e,structures.Agent@13fee20c,null,
0,1000,structures.Agent@424c0bc4,structures.Agent@2957fcb0,null,
0,1000,structures.Agent@16b4a017,structures.Agent@619a5dff,null,
0,1000,structures.Agent@16b4a017,structures.Agent@1a407d53,null,
0,1000,structures.Agent@2a3046da,structures.Agent@26a1ab54,null,
0,1000,structures.Agent@2a3046da,structures.Agent@38cccef,null,
0,1000,structures.Agent@198e2867,structures.Agent@14bf9759,null,
0,1000,structures.Agent@3ada9e37,structures.Agent@68de145,null,
0,1000,structures.Agent@5cbc508c,structures.Agent@26653222,null,
0,1000,structures.Agent@68fb2c38,structures.Agent@2752f6e2,null,
0,1000,structures.Agent@68fb2c38,structures.Agent@387c703b,null,
0,1000,structures.Agent@6842775d,structures.Agent@5e025e70,null,
0,1000,structures.Agent@6c629d6e,structures.Agent@4bf558aa,null,
0,1000,structures.Agent@5ecddf8f,structures.Agent@4909b8da,null,
0,1000,structures.Agent@3f102e87,structures.Agent@28864e92,null,
0,1000,structures.Agent@27abe2cd,structures.Agent@6833ce2c,null,
0,1000,structures.Agent@27abe2cd,structures.Agent@153f5a29,null,
0,1000,structures.Agent@29444d75,structures.Agent@3fb4f649,null,
0,1000,structures.Agent@29444d75,structures.Agent@18769467,null,
0,1000,structures.Agent@44e81672,structures.Agent@4cc0edeb,null,
0,1000,structures.Agent@65e579dc,structures.Agent@60f82f98,null,
0,1000,structures.Agent@b065c63,structures.Agent@3ac42916,null,
0,1000,structures.Agent@490d6c15,structures.Agent@67424e82,null,
0,1000,structures.Agent@27082746,structures.Agent@3d04a311,null,
0,1000,structures.Agent@66133adc,structures.Agent@483bf400,null,
0,1000,structures.Agent@24273305,structures.Agent@15327b79,null,
0,1000,structures.Agent@46f5f779,structures.Agent@2eafffde,null,
0,1000,structures.Agent@33e5ccce,structures.Agent@6ad5c04e,null,
0,1000,structures.Agent@4c75cab9,structures.Agent@5cbc508c,null,
0,1000,structures.Agent@2471cca7,structures.Agent@67424e82,null,
0,1000,structures.Agent@5fe5c6f,structures.Agent@2c6a3f77,null,
0,1000,structures.Agent@6979e8cb,structures.Agent@6d9c638,null,
0,1000,structures.Agent@d70c109,structures.Agent@6d00a15d,null,
0,1000,structures.Agent@31b7dea0,structures.Agent@b065c63,null,
0,1000,structures.Agent@47d384ee,structures.Agent@5afa04c,null,
0,1000,structures.Agent@c39f790,structures.Agent@15615099,null,
0,1000,structures.Agent@5f150435,structures.Agent@421faab1,null,
0,1000,structures.Agent@5f150435,structures.Agent@759ebb3d,null,
0,1000,structures.Agent@5f150435,structures.Agent@11028347,null,
0,1000,structures.Agent@1c53fd30,structures.Agent@5474c6c,null,
0,1000,structures.Agent@1c53fd30,structures.Agent@56cbfb61,null,
0,1000,structures.Agent@50cbc42f,structures.Agent@69222c14,null,
0,1000,structures.Agent@75412c2f,structures.Agent@5a2e4553,null,
0,1000,structures.Agent@13b6d03,structures.Agent@4c75cab9,null,
0,1000,structures.Agent@73035e27,structures.Agent@69222c14,null,
0,1000,structures.Agent@73035e27,structures.Agent@5a61f5df,null,
0,1000,structures.Agent@64c64813,structures.Agent@23ceabc1,null,
0,1000,structures.Agent@5474c6c,structures.Agent@3159c4b8,null,
0,1000,structures.Agent@4b6995df,structures.Agent@59690aa4,null,
0,1000,structures.Agent@66048bfd,structures.Agent@156643d4,null,
0,1000,structures.Agent@47fd17e3,structures.Agent@6bf2d08e,null,
0,1000,structures.Agent@7cdbc5d3,structures.Agent@49c2faae,null,
0,1000,structures.Agent@6fffcba5,structures.Agent@457e2f02,null,
0,1000,structures.Agent@2aafb23c,structures.Agent@6d00a15d,null,
0,1000,structures.Agent@2b80d80f,structures.Agent@379619aa,null,
0,1000,structures.Agent@2b80d80f,structures.Agent@7de26db8,null,
0,1000,structures.Agent@3ab39c39,structures.Agent@1ee0005,null,
0,1000,structures.Agent@546a03af,structures.Agent@2ac1fdc4,null,
0,1000,structures.Agent@721e0f4f,structures.Agent@bebdb06,null,
0,1000,structures.Agent@28864e92,structures.Agent@90f6bfd,null,
0,1000,structures.Agent@6833ce2c,structures.Agent@1ed6993a,null,
0,1000,structures.Agent@2aaf7cc2,structures.Agent@387c703b,null,
0,1000,structures.Agent@2aaf7cc2,structures.Agent@182decdb,null,
0,1000,structures.Agent@2aaf7cc2,structures.Agent@6f79caec,null,
0,1000,structures.Agent@2aaf7cc2,structures.Agent@67b6d4ae,null,
0,1000,structures.Agent@6e3c1e69,structures.Agent@edf4efb,null,
0,1000,structures.Agent@1888ff2c,structures.Agent@5b1d2887,null,
0,1000,structures.Agent@649d209a,structures.Agent@13b6d03,null,
0,1000,structures.Agent@357246de,structures.Agent@65ae6ba4,null,
0,1000,structures.Agent@2a18f23c,structures.Agent@60215eee,null,
0,1000,structures.Agent@16c0663d,structures.Agent@27c20538,null,
0,1000,structures.Agent@16c0663d,structures.Agent@17f052a3,null,
0,1000,structures.Agent@23223dd8,structures.Agent@13a57a3b,null,
0,1000,structures.Agent@1b40d5f0,structures.Agent@4769b07b,null,
0,1000,structures.Agent@1b40d5f0,structures.Agent@470e2030,null,
0,1000,structures.Agent@ea4a92b,structures.Agent@6bdf28bb,null,
0,1000,structures.Agent@47f37ef1,structures.Agent@19dfb72a,null,
0,1000,structures.Agent@4563e9ab,structures.Agent@26ba2a48,null,
0,1000,structures.Agent@1fbc7afb,structures.Agent@5b80350b,null,
0,1000,structures.Agent@7cf10a6f,structures.Agent@68f7aae2,null,
0,1000,structures.Agent@7cf10a6f,structures.Agent@2ef1e4fa,null,
0,1000,structures.Agent@7e0babb1,structures.Agent@36f6e879,null,
0,1000,structures.Agent@6debcae2,structures.Agent@1b9e1916,null,
0,1000,structures.Agent@6debcae2,structures.Agent@2d928643,null,
0,1000,structures.Agent@5ba23b66,structures.Agent@204f30ec,null,
0,1000,structures.Agent@2ff4f00f,structures.Agent@4cc0edeb,null,
0,1000,structures.Agent@c818063,structures.Agent@4cdf35a9,null,
0,1000,structures.Agent@c818063,structures.Agent@61e4705b,null,
0,1000,structures.Agent@7d417077,structures.Agent@66d33a,null,
0,1000,structures.Agent@2c8d66b2,structures.Agent@4411d970,null,
0,1000,structures.Agent@56cbfb61,structures.Agent@1753acfe,null,
0,1000,structures.Agent@d041cf,structures.Agent@6ea6d14e,null,
0,1000,structures.Agent@2d209079,structures.Agent@6659c656,null,
0,1000,structures.Agent@2d209079,structures.Agent@7a79be86,null,
0,1000,structures.Agent@2752f6e2,structures.Agent@73c6c3b2,null,
0,1000,structures.Agent@1d251891,structures.Agent@67b6d4ae,null,
0,1000,structures.Agent@48140564,structures.Agent@73a28541,null,
0,1000,structures.Agent@49e4cb85,structures.Agent@57fa26b7,null,
0,1000,structures.Agent@6a5fc7f7,structures.Agent@3796751b,null,
0,1000,structures.Agent@7a79be86,structures.Agent@73c6c3b2,null,
0,1000,structures.Agent@30c7da1e,structures.Agent@5b37e0d2,null,
0,1000,structures.Agent@5b464ce8,structures.Agent@515f550a,null,
0,1000,structures.Agent@57829d67,structures.Agent@3bfdc050,null,
0,1000,structures.Agent@17c68925,structures.Agent@2a2d45ba,null,
0,1000,structures.Agent@59a6e353,structures.Agent@7f690630,null,
0,1000,structures.Agent@7a0ac6e3,structures.Agent@6477463f,null,
0,1000,structures.Agent@2d6e8792,structures.Agent@366e2eef,null,
0,1000,structures.Agent@506e6d5e,structures.Agent@49097b5d,null,
0,1000,structures.Agent@96532d6,structures.Agent@5b275dab,null,
0,1000,structures.Agent@96532d6,structures.Agent@68f7aae2,null,
0,1000,structures.Agent@4411d970,structures.Agent@34a245ab,null,
0,1000,structures.Agent@6442b0a6,structures.Agent@7bfcd12c,null,
0,1000,structures.Agent@edf4efb,structures.Agent@5e025e70,null,
0,1000,structures.Agent@3498ed,structures.Agent@d041cf,null,
0,1000,structures.Agent@3d8c7aca,structures.Agent@1ed6993a,null,
0,1000,structures.Agent@380fb434,structures.Agent@1761e840,null,
0,1000,structures.Agent@3cda1055,structures.Agent@20e2cbe0,null,
0,1000,structures.Agent@79698539,structures.Agent@16b98e56,null,
0,1000,structures.Agent@79698539,structures.Agent@3d24753a,null,
0,1000,structures.Agent@2ed94a8b,structures.Agent@90f6bfd,null,
0,1000,structures.Agent@2ed94a8b,structures.Agent@7a79be86,null,
0,1000,structures.Agent@42d3bd8b,structures.Agent@6e06451e,null,
0,1000,structures.Agent@3b81a1bc,structures.Agent@47f6473,null,
0,1000,structures.Agent@64616ca2,structures.Agent@649d209a,null,
0,1000,structures.Agent@13fee20c,structures.Agent@5b80350b,null,
0,1000,structures.Agent@17550481,structures.Agent@5c8da962,null,
0,1000,structures.Agent@735f7ae5,structures.Agent@71be98f5,null,
0,1000,structures.Agent@2c6a3f77,structures.Agent@deb6432,null,
0,1000,structures.Agent@246ae04d,structures.Agent@6cd8737,null,
0,1000,structures.Agent@5315b42e,structures.Agent@31a5c39e,null,
0,1000,structures.Agent@5d624da6,structures.Agent@123a439b,null,
0,1000,structures.Agent@1e67b872,structures.Agent@3f102e87,null,
0,1000,structures.Agent@60addb54,structures.Agent@64bf3bbf,null,
0,1000,structures.Agent@3f2a3a5,structures.Agent@64a294a6,null,
0,1000,structures.Agent@3f2a3a5,structures.Agent@5f2108b5,null,
0,1000,structures.Agent@77b52d12,structures.Agent@614c5515,null,
0,1000,structures.Agent@327471b5,structures.Agent@7c30a502,null,
0,1000,structures.Agent@90f6bfd,structures.Agent@34a245ab,null,
0,1000,structures.Agent@90f6bfd,structures.Agent@51016012,null,
0,1000,structures.Agent@47f6473,structures.Agent@37a71e93,null,
0,1000,structures.Agent@6b143ee9,structures.Agent@568db2f2,null,
0,1000,structures.Agent@6615435c,structures.Agent@482f8f11,null,
0,1000,structures.Agent@6615435c,structures.Agent@2c6a3f77,null,
0,1000,structures.Agent@4909b8da,structures.Agent@47f37ef1,null,
0,1000,structures.Agent@2d3fcdbd,structures.Agent@55f3ddb1,null,
0,1000,structures.Agent@617c74e5,structures.Agent@3c5a99da,null,
0,1000,structures.Agent@6537cf78,structures.Agent@2b98378d,null,
0,1000,structures.Agent@366e2eef,structures.Agent@6108b2d7,null,
0,1000,structures.Agent@6df97b55,structures.Agent@736e9adb,null,
0,1000,structures.Agent@3cbbc1e0,structures.Agent@57829d67,null,
0,1000,structures.Agent@54a097cc,structures.Agent@233c0b17,null,
0,1000,structures.Agent@2c9f9fb0,structures.Agent@6267c3bb,null,
0,1000,structures.Agent@234bef66,structures.Agent@589838eb,null,
0,1000,structures.Agent@234bef66,structures.Agent@21b8d17c,null,
0,1000,structures.Agent@50f8360d,structures.Agent@5577140b,null,
0,1000,structures.Agent@2cb4c3ab,structures.Agent@77468bd9,null,
0,1000,structures.Agent@13c78c0b,structures.Agent@5387f9e0,null,
0,1000,structures.Agent@13a57a3b,structures.Agent@61baa894,null,
0,1000,structures.Agent@61a485d2,structures.Agent@735b5592,null,
0,1000,structures.Agent@39fb3ab6,structures.Agent@6eebc39e,null,
0,1000,structures.Agent@6276ae34,structures.Agent@553f17c,null,
0,1000,structures.Agent@6276ae34,structures.Agent@5fcfe4b2,null,
0,1000,structures.Agent@6276ae34,structures.Agent@6574b225,null,
0,1000,structures.Agent@7946e1f4,structures.Agent@bebdb06,null,
0,1000,structures.Agent@5cc7c2a6,structures.Agent@e25b2fe,null,
0,1000,structures.Agent@2669b199,structures.Agent@340f438e,null,
0,1000,structures.Agent@2669b199,structures.Agent@439f5b3d,null,
0,1000,structures.Agent@458ad742,structures.Agent@5f205aa,null,
0,1000,structures.Agent@5afa04c,structures.Agent@36d4b5c,null,
0,1000,structures.Agent@174d20a,structures.Agent@48533e64,null,
0,1000,structures.Agent@66d2e7d9,structures.Agent@2f7c7260,null,
0,1000,structures.Agent@4de8b406,structures.Agent@69d0a921,null,
