% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
1,1000,2,structures.Agent@2d8e6db6,1.0,0.0,
1,1000,3,structures.Agent@23ab930d,0.6701466667748303,1.0,
1,1000,4,structures.Agent@4534b60d,1.0,1.0,
1,1000,5,structures.Agent@3fa77460,1.0,0.0,
1,1000,6,structures.Agent@619a5dff,1.0,0.0,
1,1000,7,structures.Agent@1ed6993a,1.0,0.0,
1,1000,8,structures.Agent@7e32c033,0.7258746925127367,1.0,
1,1000,9,structures.Agent@7ab2bfe1,1.0,1.0,
1,1000,10,structures.Agent@497470ed,1.0,1.0,
1,1000,11,structures.Agent@63c12fb0,1.0,0.0,
1,1000,12,structures.Agent@b1a58a3,1.0,1.0,
1,1000,13,structures.Agent@6438a396,1.0,0.0,
1,1000,14,structures.Agent@e2144e4,1.0,0.0,
1,1000,15,structures.Agent@6477463f,1.0,1.0,
1,1000,16,structures.Agent@3d71d552,1.0,0.0,
1,1000,17,structures.Agent@1cf4f579,1.0,1.0,
1,1000,18,structures.Agent@18769467,1.0,1.0,
1,1000,19,structures.Agent@46ee7fe8,1.0,0.0,
1,1000,20,structures.Agent@7506e922,1.0,0.0,
1,1000,21,structures.Agent@4ee285c6,1.0,0.0,
1,1000,22,structures.Agent@621be5d1,1.0,0.0,
1,1000,23,structures.Agent@573fd745,1.0,0.0,
1,1000,24,structures.Agent@15327b79,1.0,0.0,
1,1000,25,structures.Agent@4f2410ac,1.0,0.0,
1,1000,26,structures.Agent@722c41f4,1.0,0.0,
1,1000,27,structures.Agent@5b80350b,1.0,0.0,
1,1000,28,structures.Agent@5d6f64b1,1.0,0.0,
1,1000,29,structures.Agent@32a1bec0,1.0,0.0,
1,1000,30,structures.Agent@22927a81,1.0,0.0,
