Parameter Sweeps

Number of parameters swept: 45

Table of parameters swept 
public	double	initialProtesters	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	
public	double	initialSensitivity	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	

Parameter values for the class class structures.Environment
initialProtesters  0.1
initialSensitivity  0.1
n  1000
nameSpace  SPARSE
gridWidth  50
gridHeight  50
paramSweeps  true
simLength  1000
simNumber  1
fileDataName  results2.txt
folderDataName  data
dataSamplingInterval  1
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
initialProtesters	Value	initialSensitivity	Value	Step	Reps	pro	con	silent	avgSensitivity	Step	Reps	pro	con	silent	avgSensitivity	
initialProtesters	0.8	initialSensitivity	0.1	999.000	1.000	98.000	791.000	111.000	0.068	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.8	initialSensitivity	0.3	999.000	1.000	104.000	764.000	132.000	0.112	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.8	initialSensitivity	0.5	999.000	1.000	89.000	766.000	145.000	0.143	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.8	initialSensitivity	0.7	999.000	1.000	110.000	715.000	175.000	0.206	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.8	initialSensitivity	0.9	999.000	1.000	100.000	715.000	185.000	0.222	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.9	initialSensitivity	0.1	999.000	1.000	47.000	907.000	46.000	0.033	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.9	initialSensitivity	0.3	999.000	1.000	47.000	870.000	83.000	0.069	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.9	initialSensitivity	0.5	999.000	1.000	50.000	872.000	78.000	0.095	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.9	initialSensitivity	0.7	999.000	1.000	65.000	808.000	127.000	0.157	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.9	initialSensitivity	0.9	999.000	1.000	52.000	811.000	137.000	0.172	999.000	1.000	0.000	0.000	0.000	0.000
